dish_id	dish_name	dish_description	dish_rating	restaurant_name
1	chicken nuggets	deep fried bread chicken served with a variety of sweet sauces like sweet and sour, barbeque, honey mustard	3	McDonald's
2	quarter pounder	thick beef burger pattie and processed cheese on a bun	4	McDonald's
3	big mac	regular beef burger pattie and processed cheese on a bun	5	McDonald's
4	fries	salty, greasy, deep fried potato thins	2	McDonald's
5	junior chicken	crispy breaded chicken pattie on a bun with secret sauce	3	McDonald's
6	double cheeseburger	two regular beef burger pattie and processed cheese on a bun	4	McDonald's
7	cheeseburger	regular beef burger pattie and processed cheese on a bun	3	McDonald's
8	crispy chicken wrap	crispy breaded chicken strips served with lettuce and tomato and Cajun spices	4	McDonald's
9	mcflurry	sweet soft serve vanilla ice cream with crushed candy blended 	3	McDonald's
10	Angus burger	Thick Angus beef burger patties, bacon, lettuce, tomato on a sesame seed by.	4	McDonald's
11	egg and sausage McMuffin	eggs and sausage and processed cheese served on a savoury English muffin	5	McDonald's
12	egg and bacon McMuffin	eggs and bacon and processed cheese served on a savoury English muffin	4	McDonald's
13	egg and sausage mcgriddle	eggs and sausage and processed cheese served between sweet syrup injected pancakes	3	McDonald's
14	egg and bacon mcgriddle	eggs and bacon and processed cheese served on sweet syrup injected pancakes	2	McDonald's
15	apple pie	small single serving premade apple pie, sweet and cinnomony	1	McDonald's
16	tomato and mozzarella crispy chicken burger	crispy breaded, fried chicken with a slice of mozzarella with lettuce and tomato	1	McDonald's
17	double quarter pounder blt	two large beef burger patties, bacon, lettuce, tomato	4	McDonald's
18	sweet and sour pork	Breaded, deep-fried pork served with sweet and sour sauce . Served on a bed of rice	5	Bamboo Garden Restaurant
19	sweet and sour chicken	Breaded, deep-fried chicken served with sweet and sour sauce. Served on a bed of rice	4	Bamboo Garden Restaurant
20	breaded almond chicken	Chicken breast stir-fried with seasonal vegetables, almonds, and a savoury sauce. Served on a bed of rice	5	Bamboo Garden Restaurant
21	lemon chicken	Breaded, deep-fried chicken covered in a lemon flavoured sauce. Served on a bed of rice	3	Bamboo Garden Restaurant
22	sesame chicken	Breaded, deep-fried chicken, covered in a honey sesame sauce. Served on a bed of rice.	5	Bamboo Garden Restaurant
23	general Tso's chicken	Breaded, deep-fried chicken, covered in a spicy sesame sauce. Served on a bed of rice.	3	Bamboo Garden Restaurant
24	cashew prawn	Prawns, stir-fried with a sweet and salty cashew sauce. Served with seasonal vegetables	3	Bamboo Garden Restaurant
25	crispy ginger beef	Crispy, crunchy, deep-fried beef served with a sweet and spicy ginger sauce on a bed of rice.	3	Bamboo Garden Restaurant
26	chicken chow mein	Chicken and vegetables stir-fried with noodles	3	Bamboo Garden Restaurant
27	pork sliced noodle	BBQ pork stir-fried in ginger and hoisin, with noodles and cabbage	4	Bamboo Garden Restaurant
28	beef sliced noodle	BBQ beef stir-fried in ginger and hoisin, with noodles and cabbage	5	Bamboo Garden Restaurant
29	hot and sour soup	 Hot and spicy red peppers and sour vinegar make this pork soup extremely flavourful	4	Bamboo Garden Restaurant
30	wonton soup	Pork wontons simmer in chicken broth with Chinese vegetables in this hearty and warming soup. Salty and warm. Good for dumping lovers	3	Bamboo Garden Restaurant
31	chicken chop suey	Chicken and eggs, stir-fried with vegetables in a savoury sauce	3	Bamboo Garden Restaurant
32	beef chop suey	Beef and eggs, stir-fried with vegetables in a savoury sauce	4	Bamboo Garden Restaurant
33	BBQ duck (half)	Half a Chinese BBQ style duck, roasted with ginger and a sweet glaze	5	Bamboo Garden Restaurant
34	salty Taiwanese chicken nuggets	Deep-fried salty chicken nuggets served with a sweet dipping sauce	3	Bubble World
35	laksa 	Thick wheat noodles or rice vermicelli with prawn and fish, served in spicy soup based on rich, spicy curry coconut milk	2	Bubble World
36	chicken noodle soup	Chicken served in a light, salty chicken broth with vegetables and thick wheat noodles	2	Bubble World
37	beef noodle soup	Beef served in a light, salty chicken broth with vegetables and thick wheat noodles	2	Bubble World
38	bubble waffle	Sweet, sugary batter cooked fresh in a waffle press	3	Bubble World
39	BBQ duck	Sliced BBQ style duck, fried with ginger and a sweet glaze, served on rice	4	Bubble World
40	Fish soup	Fish balls served in a light, salty fish broth with vegetables and thick wheat noodles	5	Bubble World
41	Stir fried beef	Beef stir-fried with savoury soy based sauce served with noodles and vegetables	4	Bubble World
42	Pork dumplings	Fried savoury, pork dumplings served with dipping sauce	3	Bubble World
